,PLAYER,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,SALARY_MILLIONS
270,Rashad Vaughn,20,11.2,1.4,3.8,0.365,0.6,2,0.321,0.8,1.8,0.413,0.449,0,0.1,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,MIL,41,11.2,-3.44,-0.89,-4.33,-0.35,5.2,96.36,18,128,2,7,1.81
271,Tyler Zeller,27,10.3,1.5,3.1,0.494,0,0,0,1.5,3.1,0.497,0.494,0.4,0.8,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,BOS,51,10.3,-2.5,0.2,-2.3,0.28,8.5,99.46,32,336,15,14,8
272,Dragan Bender,19,13.3,1.3,3.7,0.354,0.7,2.3,0.277,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,PHX,43,13.3,-3.2,-0.68,-3.88,-0.28,3.3,100.06,13,495,,,4.28
273,Jared Sullinger,24,10.7,1.4,4.3,0.319,0.3,1.6,0.167,1.1,2.6,0.414,0.351,0.4,0.7,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,TOR,11,10.7,-2.7,0.9,-1.8,0.1,2.7,96.58,2,368.5,11,2,5.63
274,Henry Ellenson,20,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.448,0.438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,DET,19,7.7,-2.32,0.38,-1.94,0.1,7.6,95.74,8,147,6.5,5,1.7
275,Thabo Sefolosha,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,ATL,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32,280,28.5,17.5,3.85
276,Justin Anderson,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24,4,5,10,1.51
277,Joe Ingles,29,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,UTAH,82,24,2.29,0.26,2.55,6.68,8.9,94.04,51,178,86.5,4,2.15
278,Jared Dudley,31,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8,PHX,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17,184,31,4,10.47
279,Caris LeVert,22,21.7,3,6.7,0.45,1,3.2,0.321,2,3.4,0.571,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,BKN,57,21.7,-0.46,-0.84,-1.3,1.53,8.6,104.52,15,198.5,0,28,1.56
280,Willie Cauley-Stein,23,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,0.53,1.3,2,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2,8.1,SAC,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29,456.5,0,17,3.55
281,Ben McLemore,23,19.3,3,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,1.8,8.1,SAC,61,19.3,-2.88,-1.58,-4.46,-0.99,6,97.04,27,272.5,30,17,4.01
282,Quincy Miller,21,28.7,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,ORL,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29,666,42.5,16,4.35
283,Joel Embiidl,36,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,SA,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47,1983.5,882.5,148.5,15.5
284,Dante Exum,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,LAC,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,1010,49,32,13.25
285,Terry Rozier,22,17.1,2,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,BOS,74,17.1,-1.05,-0.01,-1.06,1.65,9.1,98.27,47,208,2,6,1.91
286,Malcolm Delaney,27,17.1,2,5.3,0.374,0.4,1.5,0.236,1.6,3.8,0.428,0.407,1,1.3,0.806,0.1,1.5,1.7,2.6,0.5,0,1.3,1.5,5.4,ATL,73,17.1,-2.64,-0.25,-2.89,0.18,6.4,98.7,37,183.5,1,1,2.5
287,Meyers Leonard,24,16.5,2,5.1,0.386,1,2.9,0.347,1,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1,0.2,0.4,0.5,2.3,5.4,POR,74,16.5,-1.5,0.26,-1.24,1.48,6.1,99.44,37,276,149,31,9.21
